generation,solution_id,fft_size,s0_mult,s0_add,s1_mult,s1_add,s2_mult,s2_add,s3_mult,s3_add,s4_mult,s4_add,power_W,area_LUTs,lutrams,dsps,brams,ffs,sqnr_dB,norm_latency,crit_delay_ns,meets_timing,avg_exec_cycles,tot_sim_cycles,fp4_mult_pct,fp8_mult_pct,fp4_add_pct,fp8_add_pct
207,21,32,1,0,1,1,0,1,1,0,0,1,0.033000,1383,73,10,4,149,10.5200,0.4610,36.879,1,143,2992,40.0,60.0,40.0,60.0
207,22,32,0,0,0,0,0,1,1,0,1,1,0.033000,1410,73,10,4,149,10.9700,0.4444,35.554,1,143,2992,60.0,40.0,60.0,40.0
207,23,32,0,1,0,1,0,1,0,0,1,1,0.036000,1370,73,10,4,149,3.0000,0.4608,36.862,1,143,2992,80.0,20.0,20.0,80.0
207,24,32,0,0,0,0,1,1,0,0,1,1,0.033000,1321,73,10,4,149,10.6600,0.4395,35.161,1,143,2992,60.0,40.0,60.0,40.0
207,25,32,1,0,1,1,0,1,1,1,1,0,0.028000,1412,73,10,4,149,10.7200,0.4444,35.554,1,143,2992,20.0,80.0,40.0,60.0
207,26,32,0,1,1,1,0,1,1,1,1,1,0.037000,1339,73,10,4,140,15.3000,0.4443,35.543,1,143,2992,40.0,60.0,0.0,100.0
207,27,32,0,0,1,1,0,1,1,0,1,0,0.028000,1410,73,10,4,149,10.3000,0.4444,35.554,1,143,2992,40.0,60.0,60.0,40.0
207,28,32,1,1,0,0,0,1,1,1,1,1,0.037000,1386,73,10,4,149,9.3400,0.4443,35.543,1,143,2992,40.0,60.0,20.0,80.0
207,29,32,1,1,0,0,1,1,0,1,1,0,0.028000,1410,73,10,4,149,10.1000,0.4444,35.554,1,143,2992,40.0,60.0,40.0,60.0
208,0,32,0,0,0,1,0,1,1,1,0,1,0.035000,1374,73,10,4,149,12.7800,0.4611,36.886,1,143,2992,80.0,20.0,20.0,80.0
208,2,32,1,1,1,0,1,1,1,1,1,1,0.039000,1410,73,10,4,149,11.4400,0.4444,35.554,1,143,2992,0.0,100.0,20.0,80.0
208,3,32,0,0,0,0,1,0,0,0,1,0,0.027000,878,59,10,4,145,9.4100,0.3337,26.698,1,143,2992,60.0,40.0,100.0,0.0
208,4,32,0,0,0,0,0,1,0,0,1,1,0.033000,1386,73,10,4,149,10.8600,0.4443,35.543,1,143,2992,80.0,20.0,60.0,40.0
208,5,32,0,0,0,1,0,1,0,1,0,1,0.033000,829,51,6,4,129,12.1700,0.3151,25.207,1,143,2992,100.0,0.0,20.0,80.0
208,6,32,1,1,0,0,1,1,1,1,1,1,0.038000,1321,73,10,4,149,10.8400,0.4395,35.161,1,143,2992,20.0,80.0,20.0,80.0
208,7,32,0,0,0,1,1,1,0,1,1,1,0.035000,1370,73,10,4,149,12.9300,0.4608,36.862,1,143,2992,60.0,40.0,20.0,80.0
208,9,32,1,0,0,0,1,0,1,1,1,1,0.032000,1391,73,10,4,149,11.1600,0.4610,36.879,1,143,2992,20.0,80.0,60.0,40.0
208,10,32,1,0,1,0,0,1,1,1,1,1,0.035000,1379,73,10,4,149,22.4900,0.4613,36.903,1,143,2992,20.0,80.0,40.0,60.0
208,11,32,1,1,1,0,0,1,1,1,1,0,0.029000,1410,73,10,4,149,10.6700,0.4444,35.554,1,143,2992,20.0,80.0,40.0,60.0
208,12,32,0,0,1,1,1,1,0,0,1,0,0.028000,1378,73,10,4,149,9.7000,0.4613,36.903,1,143,2992,40.0,60.0,60.0,40.0
