generation,solution_id,fft_size,s0_mult,s0_add,s1_mult,s1_add,s2_mult,s2_add,s3_mult,s3_add,s4_mult,s4_add,s5_mult,s5_add,s6_mult,s6_add,s7_mult,s7_add,power_W,area_LUTs,lutrams,dsps,brams,ffs,sqnr_dB,norm_latency,crit_delay_ns,meets_timing,avg_exec_cycles,tot_sim_cycles,fp4_mult_pct,fp8_mult_pct,fp4_add_pct,fp8_add_pct
507,11,256,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0.076000,1970,75,13,4,620,10.4500,0.7184,43.102,1,1123,23628,12.5,87.5,25.0,75.0
507,12,256,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0.076000,1970,75,13,4,620,17.0100,0.7184,43.102,1,1123,23628,12.5,87.5,25.0,75.0
507,14,256,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0.076000,1982,74,13,4,618,12.2400,0.7250,43.500,1,1123,23628,25.0,75.0,25.0,75.0
507,15,256,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0.074000,1509,61,13,4,616,9.2500,0.5812,34.872,1,1123,23628,62.5,37.5,100.0,0.0
507,16,256,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0.076000,1970,75,13,4,620,9.4200,0.7184,43.102,1,1123,23628,62.5,37.5,75.0,25.0
507,17,256,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0.076000,1973,75,13,4,620,8.9600,0.7184,43.102,1,1123,23628,75.0,25.0,87.5,12.5
507,18,256,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.074000,1509,61,13,4,616,9.0400,0.5812,34.872,1,1123,23628,75.0,25.0,100.0,0.0
507,19,256,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0.076000,1975,75,13,4,620,12.0000,0.7184,43.102,1,1123,23628,12.5,87.5,12.5,87.5
507,20,256,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0.076000,1982,74,13,4,618,17.0100,0.7250,43.500,1,1123,23628,25.0,75.0,25.0,75.0
507,21,256,1,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1,0.076000,1975,75,13,4,620,10.3200,0.7184,43.102,1,1123,23628,25.0,75.0,62.5,37.5
507,22,256,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.076000,1975,75,13,4,620,9.0000,0.7184,43.102,1,1123,23628,87.5,12.5,87.5,12.5
507,23,256,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0.074000,1509,61,13,4,616,9.2100,0.5812,34.872,1,1123,23628,62.5,37.5,100.0,0.0
507,24,256,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0.075000,1374,60,9,4,614,1.7900,0.4911,29.467,1,1123,23628,100.0,0.0,12.5,87.5
507,25,256,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0.076000,1970,75,13,4,620,11.5500,0.7187,43.123,1,1123,23628,37.5,62.5,50.0,50.0
507,26,256,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.074000,1509,61,13,4,616,9.2100,0.5812,34.872,1,1123,23628,75.0,25.0,100.0,0.0
507,27,256,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0.076000,1970,75,13,4,620,9.5500,0.7184,43.102,1,1123,23628,87.5,12.5,50.0,50.0
507,28,256,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0.076000,1982,75,13,4,620,2.4900,0.7250,43.503,1,1123,23628,12.5,87.5,12.5,87.5
507,29,256,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,1,0.076000,1971,75,13,4,620,9.1400,0.7184,43.107,1,1123,23628,87.5,12.5,37.5,62.5
508,0,256,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0.076000,1962,75,13,4,620,10.0000,0.7184,43.107,1,1123,23628,0.0,100.0,25.0,75.0
