generation,solution_id,fft_size,s0_mult,s0_add,s1_mult,s1_add,s2_mult,s2_add,s3_mult,s3_add,s4_mult,s4_add,s5_mult,s5_add,power_W,area_LUTs,lutrams,dsps,brams,ffs,sqnr_dB,norm_latency,crit_delay_ns,meets_timing,avg_exec_cycles,tot_sim_cycles,fp4_mult_pct,fp8_mult_pct,fp4_add_pct,fp8_add_pct
306,16,64,1,0,1,1,0,0,1,1,0,0,1,1,0.076000,1954,69,13,4,608,9.7200,0.5389,43.109,1,267,5764,33.3,66.7,50.0,50.0
306,17,64,0,1,0,1,0,1,0,1,0,0,0,1,0.075000,1345,54,9,4,602,2.3300,0.3560,28.480,1,267,5764,100.0,0.0,16.7,83.3
306,18,64,0,1,0,0,0,0,1,1,1,1,1,1,0.076000,1958,69,13,4,608,2.9300,0.5389,43.109,1,267,5764,50.0,50.0,33.3,66.7
306,19,64,0,0,1,0,1,1,1,1,1,1,1,1,0.075000,1954,69,13,4,608,24.0700,0.5389,43.109,1,267,5764,16.7,83.3,33.3,66.7
306,20,64,1,0,0,1,0,1,0,1,0,1,0,1,0.076000,1959,69,13,4,608,11.2100,0.5389,43.109,1,267,5764,83.3,16.7,16.7,83.3
306,21,64,0,1,1,1,0,1,1,1,1,1,1,1,0.075000,1907,69,13,4,599,14.9700,0.5389,43.109,1,267,5764,33.3,66.7,0.0,100.0
306,22,64,1,0,0,1,0,0,0,1,1,1,1,1,0.076000,1954,69,13,4,608,10.2700,0.5389,43.109,1,267,5764,50.0,50.0,33.3,66.7
306,23,64,0,0,1,1,0,1,0,1,1,1,1,1,0.076000,1954,69,13,4,608,12.7800,0.5389,43.109,1,267,5764,50.0,50.0,16.7,83.3
306,24,64,1,1,1,1,0,1,0,1,1,1,1,1,0.075000,1910,68,13,4,597,16.7200,0.5389,43.109,1,267,5764,33.3,66.7,0.0,100.0
306,25,64,0,1,1,0,1,0,1,0,0,1,1,0,0.076000,1954,69,13,4,608,2.0400,0.5389,43.109,1,267,5764,33.3,66.7,66.7,33.3
306,26,64,0,1,0,0,0,1,1,1,1,1,0,1,0.076000,1952,69,13,4,608,3.9700,0.5389,43.109,1,267,5764,66.7,33.3,16.7,83.3
306,27,64,1,1,1,1,1,1,1,1,0,1,1,1,0.075000,1907,69,13,4,599,18.6000,0.5389,43.109,1,267,5764,16.7,83.3,0.0,100.0
306,28,64,0,0,0,0,1,0,1,0,0,1,0,1,0.075000,1956,68,13,4,606,9.6500,0.5389,43.109,1,267,5764,66.7,33.3,66.7,33.3
306,29,64,1,0,1,1,1,0,1,1,0,0,1,1,0.076000,1954,69,13,4,608,9.7200,0.5389,43.109,1,267,5764,16.7,83.3,50.0,50.0
307,0,64,0,0,1,1,1,1,0,1,1,1,1,1,0.076000,1960,69,13,4,608,13.1400,0.5389,43.109,1,267,5764,33.3,66.7,16.7,83.3
307,1,64,0,0,1,1,0,1,0,1,0,1,1,1,0.076000,1958,69,13,4,608,11.9000,0.5389,43.109,1,267,5764,66.7,33.3,16.7,83.3
