generation,solution_id,fft_size,s0_mult,s0_add,s1_mult,s1_add,s2_mult,s2_add,s3_mult,s3_add,s4_mult,s4_add,s5_mult,s5_add,s6_mult,s6_add,power_W,area_LUTs,lutrams,dsps,brams,ffs,sqnr_dB,norm_latency,crit_delay_ns,meets_timing,avg_exec_cycles,tot_sim_cycles,fp4_mult_pct,fp8_mult_pct,fp4_add_pct,fp8_add_pct
408,5,128,1,0,1,0,0,1,0,1,1,1,1,1,1,1,0.073000,1238,77,10,4,157,12.9900,0.5176,35.490,1,535,11528,28.6,71.4,28.6,71.4
408,7,128,0,1,0,1,0,1,0,1,1,1,0,1,0,0,0.073000,1239,77,10,4,157,4.4000,0.5176,35.490,1,535,11528,85.7,14.3,14.3,85.7
408,8,128,1,0,1,1,0,0,0,1,1,1,1,1,1,1,0.073000,1238,77,10,4,157,10.7200,0.5176,35.490,1,535,11528,28.6,71.4,28.6,71.4
408,9,128,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0.073000,1238,77,10,4,157,23.1900,0.5176,35.490,1,535,11528,14.3,85.7,28.6,71.4
408,10,128,1,0,0,0,1,0,0,1,1,1,1,1,1,1,0.073000,1248,77,10,4,157,10.7000,0.5176,35.490,1,535,11528,28.6,71.4,42.9,57.1
408,11,128,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0.073000,1242,77,10,4,157,11.7700,0.5175,35.487,1,535,11528,42.9,57.1,28.6,71.4
408,12,128,1,1,1,1,0,0,1,1,0,0,1,1,1,1,0.074000,1272,77,10,4,157,2.4100,0.5318,36.469,1,535,11528,28.6,71.4,28.6,71.4
408,13,128,1,0,1,0,0,1,1,1,0,1,0,1,0,1,0.073000,1238,77,10,4,157,10.5900,0.5176,35.490,1,535,11528,57.1,42.9,28.6,71.4
408,14,128,0,0,0,1,0,1,0,1,1,1,0,1,0,1,0.073000,1242,77,10,4,157,10.7500,0.5176,35.490,1,535,11528,85.7,14.3,14.3,85.7
408,15,128,1,0,0,1,1,1,1,1,1,1,0,1,1,1,0.073000,1242,77,10,4,157,12.1100,0.5176,35.490,1,535,11528,28.6,71.4,14.3,85.7
408,16,128,0,1,0,0,0,1,0,1,0,1,1,1,0,1,0.073000,1238,77,10,4,157,3.0200,0.5176,35.490,1,535,11528,85.7,14.3,14.3,85.7
408,17,128,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0.073000,1192,77,10,4,148,17.5000,0.5176,35.490,1,535,11528,14.3,85.7,0.0,100.0
408,18,128,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.073000,1192,77,10,4,148,17.2500,0.5176,35.490,1,535,11528,14.3,85.7,0.0,100.0
408,19,128,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0.073000,1192,77,10,4,148,13.3200,0.5175,35.487,1,535,11528,42.9,57.1,0.0,100.0
408,20,128,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0.073000,1248,77,10,4,157,12.1400,0.5176,35.490,1,535,11528,28.6,71.4,42.9,57.1
408,21,128,0,0,0,0,0,1,1,1,1,1,0,1,0,1,0.073000,1238,77,10,4,157,11.0300,0.5176,35.490,1,535,11528,71.4,28.6,28.6,71.4
408,22,128,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0.073000,1238,77,10,4,157,10.2300,0.5176,35.490,1,535,11528,28.6,71.4,14.3,85.7
408,23,128,1,1,0,1,0,1,0,1,0,1,1,1,0,1,0.073000,1192,77,10,4,148,11.2200,0.5176,35.490,1,535,11528,71.4,28.6,0.0,100.0
408,24,128,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0.073000,1238,77,10,4,157,12.1500,0.5176,35.490,1,535,11528,14.3,85.7,28.6,71.4
408,25,128,1,0,1,0,0,0,1,1,1,1,0,1,0,1,0.073000,1248,77,10,4,157,10.1100,0.5176,35.490,1,535,11528,42.9,57.1,42.9,57.1
408,26,128,1,1,0,0,1,1,1,1,1,1,0,1,1,1,0.073000,1238,77,10,4,157,5.5300,0.5176,35.490,1,535,11528,28.6,71.4,14.3,85.7
408,27,128,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0.073000,1238,77,10,4,157,3.1700,0.5176,35.490,1,535,11528,28.6,71.4,14.3,85.7
408,28,128,1,0,0,0,0,0,1,1,1,1,1,1,0,1,0.073000,1248,77,10,4,157,10.6300,0.5176,35.490,1,535,11528,42.9,57.1,42.9,57.1
408,29,128,1,1,0,1,0,1,0,1,0,1,0,1,1,1,0.073000,1192,77,10,4,148,11.9800,0.5176,35.490,1,535,11528,71.4,28.6,0.0,100.0
409,0,128,1,1,0,1,0,1,0,1,1,1,0,1,1,1,0.073000,1192,77,10,4,148,12.5300,0.5176,35.490,1,535,11528,57.1,42.9,0.0,100.0
409,1,128,1,0,1,0,1,1,0,1,1,1,1,1,1,1,0.073000,1241,77,10,4,157,12.9500,0.5175,35.487,1,535,11528,14.3,85.7,28.6,71.4
