generation,solution_id,fft_size,s0_mult,s0_add,s1_mult,s1_add,s2_mult,s2_add,s3_mult,s3_add,s4_mult,s4_add,s5_mult,s5_add,s6_mult,s6_add,s7_mult,s7_add,s8_mult,s8_add,power_W,area_LUTs,lutrams,dsps,brams,ffs,sqnr_dB,norm_latency,crit_delay_ns,meets_timing,avg_exec_cycles,tot_sim_cycles,fp4_mult_pct,fp8_mult_pct,fp4_add_pct,fp8_add_pct
606,9,512,0,1,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0.076000,1991,78,13,4,627,1.6000,0.8012,42.729,1,2415,49104,55.6,44.4,66.7,33.3
606,10,512,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0.076000,1991,78,13,4,627,9.5900,0.8014,42.740,1,2415,49104,88.9,11.1,44.4,55.6
606,11,512,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.076000,1991,78,13,4,627,8.9600,0.8012,42.729,1,2415,49104,88.9,11.1,88.9,11.1
606,12,512,1,0,0,0,0,1,1,1,0,0,1,1,0,1,1,1,0,1,0.076000,1991,78,13,4,627,9.8200,0.8014,42.740,1,2415,49104,55.6,44.4,33.3,66.7
606,13,512,0,0,1,0,1,1,0,1,0,0,1,1,1,0,1,1,0,1,0.076000,1991,78,13,4,627,9.5000,0.8012,42.729,1,2415,49104,44.4,55.6,44.4,55.6
606,14,512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.075000,1392,63,9,4,621,8.9000,0.5525,29.467,1,2415,49104,100.0,0.0,88.9,11.1
606,15,512,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0.076000,1944,78,13,4,618,15.0700,0.8012,42.729,1,2415,49104,11.1,88.9,0.0,100.0
606,16,512,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0.076000,1992,78,13,4,627,9.5500,0.8012,42.729,1,2415,49104,77.8,22.2,44.4,55.6
606,17,512,0,1,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0.076000,1944,78,13,4,618,9.7800,0.8012,42.729,1,2415,49104,88.9,11.1,0.0,100.0
606,18,512,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0.076000,1988,78,13,4,627,9.6400,0.8012,42.729,1,2415,49104,66.7,33.3,55.6,44.4
