generation,solution_id,fft_size,s0_mult,s0_add,s1_mult,s1_add,s2_mult,s2_add,s3_mult,s3_add,power_W,area_LUTs,lutrams,dsps,brams,ffs,sqnr_dB,norm_latency,crit_delay_ns,meets_timing,avg_exec_cycles,tot_sim_cycles,fp4_mult_pct,fp8_mult_pct,fp4_add_pct,fp8_add_pct
107,3,16,0,0,0,0,1,1,0,1,0.075000,1903,63,13,4,596,13.6100,0.5259,42.069,1,83,1628,75.0,25.0,50.0,50.0
107,4,16,0,0,0,1,1,0,1,1,0.075000,1906,63,13,4,596,12.3600,0.5259,42.069,1,83,1628,50.0,50.0,50.0,50.0
107,5,16,1,1,1,0,0,0,1,0,0.075000,1910,63,13,4,596,4.5800,0.5259,42.069,1,83,1628,25.0,75.0,75.0,25.0
107,7,16,0,1,1,1,0,1,0,1,0.075000,1864,63,13,4,587,14.0900,0.5259,42.072,1,83,1628,75.0,25.0,0.0,100.0
107,8,16,0,0,0,0,1,1,1,0,0.075000,1908,63,13,4,596,12.2500,0.5259,42.069,1,83,1628,50.0,50.0,75.0,25.0
107,12,16,1,0,1,1,1,1,1,1,0.075000,1909,63,13,4,596,25.3900,0.5259,42.069,1,83,1628,0.0,100.0,25.0,75.0
107,14,16,0,1,0,0,1,1,1,1,0.075000,1908,63,13,4,596,6.7100,0.5259,42.069,1,83,1628,50.0,50.0,25.0,75.0
107,15,16,1,0,0,0,1,0,1,1,0.075000,1916,63,13,4,596,12.0300,0.5259,42.069,1,83,1628,25.0,75.0,75.0,25.0
107,20,16,0,1,1,0,0,0,1,0,0.075000,1913,63,13,4,596,3.1500,0.5259,42.069,1,83,1628,50.0,50.0,75.0,25.0
107,21,16,1,0,1,1,0,1,1,1,0.075000,1910,63,13,4,596,23.9400,0.5259,42.069,1,83,1628,25.0,75.0,25.0,75.0
107,22,16,1,0,0,1,1,1,1,1,0.075000,1910,63,13,4,596,25.3900,0.5259,42.069,1,83,1628,25.0,75.0,25.0,75.0
107,23,16,1,0,0,1,1,0,0,1,0.075000,1905,62,13,4,594,11.2700,0.5259,42.069,1,83,1628,50.0,50.0,50.0,50.0
107,24,16,0,0,0,0,1,0,1,0,0.074000,1457,48,13,4,590,11.5700,0.4241,33.929,1,83,1628,50.0,50.0,100.0,0.0
107,26,16,1,0,1,0,0,0,0,1,0.075000,1919,63,13,4,596,11.1500,0.5259,42.069,1,83,1628,50.0,50.0,75.0,25.0
107,27,16,1,1,0,1,0,1,1,0,0.075000,1903,63,13,4,596,5.4700,0.5259,42.069,1,83,1628,50.0,50.0,25.0,75.0
107,28,16,1,1,0,0,1,1,1,1,0.075000,1892,63,13,4,596,9.5800,0.5371,42.967,1,83,1628,25.0,75.0,25.0,75.0
108,1,16,0,0,0,0,0,1,0,0,0.074000,1324,48,9,4,590,11.6600,0.3461,27.684,1,83,1628,100.0,0.0,75.0,25.0
108,2,16,0,1,0,1,0,0,1,1,0.075000,1905,63,13,4,596,3.8000,0.5259,42.069,1,83,1628,75.0,25.0,25.0,75.0
108,3,16,0,0,0,1,1,1,0,0,0.075000,1910,63,13,4,596,12.2100,0.5259,42.069,1,83,1628,75.0,25.0,50.0,50.0
108,6,16,0,1,1,1,0,0,1,1,0.075000,1908,63,13,4,596,4.7200,0.5259,42.069,1,83,1628,50.0,50.0,25.0,75.0
